apices,coty,In,hypo
Solcit1_01g000010,0.212369074114837,0,0,0
Solcit1_01g000020,42.3207703514923,395.398703420438,64.2853403811613,95.9374728512577
Solcit1_01g000030,15.6209051780988,8.61723982069389,17.8548016401828,22.1546223798805
Solcit1_01g000040,30.3732604922141,60.0224297217892,18.9893671394909,21.0652718610485
Solcit1_01g000050,258.869704646437,40.2511072540978,121.862603952966,126.991914922045
Solcit1_01g000060,89.8124098876707,81.5085919265793,122.653550459176,279.983441279451
Solcit1_01g000070,79.4263363604399,42.3018569344103,83.9803951460083,68.3747607364614
Solcit1_01g000080,164.184727749283,1724.47859598388,266.79020095668,860.31388038574
Solcit1_01g000090,44.8314886559442,17.209113941723,37.0233857152185,36.733516696583
Solcit1_01g000110,344.701795644966,543.905618107906,322.741938921446,359.680943002394
Solcit1_01g000120,0,0,7.64323265275471,0
Solcit1_01g000130,20.5133975488612,5.77166981242901,19.4877073455679,21.8423558632216
Solcit1_01g000140,1.92869438829485,5.38258524477829,3.07037605421616,3.4496091500932
Solcit1_01g000150,0.325097594692454,0,0.0777447555217335,0.698744652462995
Solcit1_01g000160,0.827422818089412,0.138147835852464,1.04023579034056,1.30206705892762
Solcit1_01g000170,0.00600544866704942,0.0191231218214161,0.0470529838328876,2.31703000164952
Solcit1_01g000180,2.34680511055333,3.35400243342373,1.49994109490058,2.68072039482639
Solcit1_01g000190,0,0,1.39333998701931,0
Solcit1_01g000200,0.0124705707150858,0,0.0425933291444813,0
Solcit1_01g000210,36.9055469416414,6.41545145783276,15.7973518578033,16.9416795267037
Solcit1_01g000220,0.389579716530618,3.21334999050145,0.756037142114029,41.2641986256031
Solcit1_01g000230,27.5423894182078,17.4787665668579,26.9422474731191,71.912762150989
Solcit1_01g000240,10.458403995217,1.14164752292227,7.92696851006729,5.33366409220582
Solcit1_01g000250,0,0,0,0.127547523755044
Solcit1_01g000260,2.83003866612971,0.134601569829249,0.954008043958604,0.539635988062078
Solcit1_01g000270,204.653824825496,41.5865547707657,108.897247709291,87.1089810070472
Solcit1_01g000280,79.0677582363022,41.0335534805472,59.0098611506381,52.9969994607694
Solcit1_01g000290,30.8142486846009,5.06554377337272,13.2358620535407,12.69864297884
Solcit1_01g000300,13.1098398957236,1.95244773527053,5.16703579112349,5.97276240791694
