apices,coty,In,leaves
Solcle2_01g000010,0.650378440975625,0.070594108162719,1.0354380595154,0
Solcle2_01g000020,13.6689086948866,5.22411464228963,11.9722840042416,6.06400928259068
Solcle2_01g000030,0.0796942596688442,0,0.98289735211411,0
Solcle2_01g000040,221.347198899519,367.639149898451,320.089945288169,363.178705653538
Solcle2_01g000050,0.105828412153764,0.0680299659802484,0.0689976744252677,0.202852174044684
Solcle2_01g000060,43.0282405337383,24.9028739042429,46.2608205530987,19.95472148786
Solcle2_01g000070,561.722418493278,924.621954066615,849.992752633786,1222.97787215209
Solcle2_01g000080,0,0.449338782743585,1.00444026176767,0.271494556451635
Solcle2_01g000090,44.9812126792916,55.1532396159042,72.2982809183566,50.9498276224932
Solcle2_01g000100,181.115020217198,184.840989969701,288.94593548715,88.5804250227632
Solcle2_01g000110,279.076230674448,94.474621679308,165.282324044576,82.2604256993766
Solcle2_01g000120,23.4476939552929,51.9612452704324,25.5939515483382,87.4906726937814
Solcle2_01g000130,24.8901290885958,17.7520271829978,20.6405823129472,11.1482884978631
Solcle2_01g000140,21.1279188734245,344.633452918399,75.6633170450868,397.325934579931
Solcle2_01g000150,0.203535699154242,0.0171084370171312,0.705008446800986,0
Solcle2_01g000160,0.0386378087468827,0.0693438340766976,0.215380470631671,0.0820923916446339
Solcle2_01g000170,0,0,0.130664409685041,0
Solcle2_01g000180,14.9648109822607,3.86281507361453,8.53314301997697,4.8176483698087
Solcle2_01g000190,0.227667345888731,0.387549870166807,0.483117488854659,0.61645414212705
Solcle2_01g000200,54.7671670348702,26.2487804915901,50.5331640823929,25.5301132784948
Solcle2_01g000210,3.8404699795167,1.11830432152241,1.76967658574666,0.526786227710042
Solcle2_01g000220,4.54770377037227,0.947759640457952,3.20073294864529,1.21062620016679
Solcle2_01g000230,3.90121802645208,0.060926372901085,0.886398455115793,0.16247764496472
Solcle2_01g000240,179.355890138675,46.4262623840547,86.4826980085321,41.9620437319035
Solcle2_01g000250,87.4416228040207,74.1103068653325,51.7218659795758,53.0516330949622
Solcle2_01g000260,15.6762682089555,4.01201803281648,9.78895233871889,2.68042137668725
Solcle2_01g000270,12.1574584927468,4.79507626345508,11.0872046683667,5.31042010306879
Solcle2_01g000280,337.213930407734,68.0437104009057,254.905249941889,216.607067381162
Solcle2_01g000290,50.9695390112207,70.1979049862975,47.1978677375128,40.9575879753305
Solcle2_01g000300,13.3209400611407,3.78475500229731,11.1623366931624,3.48547327802505
Solcle2_01g000310,34.9881114756235,19.4689058578777,30.8988852775884,16.2937373029541
Solcle2_01g000320,66.3308394252916,59.0457730419119,69.4862518147303,53.2819601495272
Solcle2_01g000340,7.56403676405505,6.86994584809374,5.76983860098141,6.14702953531151
Solcle2_01g000350,31.4997723268401,7.26720095903737,16.4820321045461,7.71728197508576
Solcle2_01g000360,0.59424365279388,1.52633376547216,6.12232232622401,0.362705237965381
Solcle2_01g000370,7.64576230062904,27.5189687851577,10.7747617943707,26.753502774036
