coty,In,hypo,leaves
Solang8_01g000010,2.76438283944244,11.5404384094664,11.1914188794016,4.86785744128574
Solang8_01g000020,0,11.5205671700747,0.044689341262818,0
Solang8_01g000030,262.83461959827,159.9949253859,188.706375469393,252.310025566573
Solang8_01g000050,26.3918448320205,32.7435461642434,36.5902167395519,28.2243625476099
Solang8_01g000060,2131.19245482065,711.014229563055,1414.46794464831,1497.83143087513
Solang8_01g000070,49.0326442117989,123.570181355967,44.3619518571164,101.499283807243
Solang8_01g000080,118.664304529072,122.995710793399,223.766339214513,46.6612004717601
Solang8_01g000090,55.83535139115,101.111792946315,128.410819986912,92.3410596965561
Solang8_01g000100,91.0786596166571,13.2927868956687,25.1307047058101,54.9676741592642
Solang8_01g000110,8.66646117831248,12.7604804593475,28.0638595738492,10.2013036218666
Solang8_01g000120,353.777218203109,66.9181207637529,49.0052296758033,476.913679666335
Solang8_01g000130,0,11.9667890523375,0,0
Solang8_01g000140,0,0.0319360301960761,0.0729539738920694,0
Solang8_01g000150,0,0.0444911130200845,0,0.069857236147213
Solang8_01g000170,2.03659908446364,4.510752627684,4.25664121263886,3.39407079852162
Solang8_01g000180,2.96533590646168,3.476628675088,30.1496426292232,5.44325464736994
Solang8_01g000190,20.0650493524772,21.4794844802026,69.6255099653558,14.8942274404554
Solang8_01g000200,1.85565972845267,3.06776569357603,4.59880128536848,2.35205146621926
Solang8_01g000210,0.133916517547004,0.819282983831418,0.359950555346574,0.317138440231465
Solang8_01g000220,38.9598763241833,61.5581454565677,83.0183855316659,25.7025999523769
Solang8_01g000230,31.087972291415,33.238371164423,41.8641593749566,36.8943035980893
Solang8_01g000240,4.40744437659809,4.24808565651104,10.3218326567894,2.57650261465361
Solang8_01g000250,5.10726103118768,5.31383210902502,9.5679098154623,4.18222762872526
Solang8_01g000260,141.861879887162,35.1407249970934,38.4215243367124,167.650120205781
Solang8_01g000280,2.10728692900712,22.3304744658784,8.8101701281089,3.79558724676339
Solang8_01g000290,1.03667357898086,5.38284503484883,1.93198194844188,4.24837555190882
Solang8_01g000300,3.68084483101668,5.06154803729071,12.3451164254738,3.91511039325103
Solang8_01g000310,25.004937161347,32.4044933632523,41.1566398099645,15.899177020297
Solang8_01g000320,60.7552819300398,62.0318931425505,93.2927568439102,72.3121303737784
Solang8_01g000330,0,0.0564438415303782,0,0.170354714558353
Solang8_01g000340,0.408236447142456,0.236371448330848,0.0668647236061763,0.374608680912886
Solang8_01g000350,0.636807114981805,1.24097268441046,15.8070856853593,0.680096703662824
Solang8_01g000360,0,0.187239095973766,0,0
Solang8_01g000370,20.272787003695,64.5408154009094,38.5152954358192,19.6068730129352
Solang8_01g000380,0.636612462195856,0.811097049021958,0.297134032374098,0.568087853881288
Solang8_01g000390,0.0559664101208977,0.626519119848799,0.120046444296976,0.40733365083212
Solang8_01g000400,31.7510545680127,10.643297619314,8.57371474333856,40.237576570906
Solang8_01g000410,6.13790187779129,12.8668227155595,19.7519954407506,8.0111418689381
Solang8_01g000420,0,0,0.493662467998381,0
Solang8_01g000430,0,0,0.700561513505942,0
Solang8_01g000440,1.70665482170725,5.736003046388,6.88518065570337,3.36418054852942
Solang8_01g000450,0.1541763239734,0.424338539043443,1.09290522546975,0.212324663415698
Solang8_01g000460,0,0.255065528620825,0,0
Solang8_01g000470,0.26876934167414,0.339712026801456,1.48542376093237,0.27753886979315
Solang8_01g000480,19.497217552862,29.3263823117394,39.4745615755889,29.3933290311784
Solang8_01g000490,12.1257422895436,13.3868603930808,55.7577206929793,13.1944941804977
Solang8_01g000500,8.96992846104357,13.6671796967062,16.2369180539333,9.66905590610154
Solang8_01g000510,0.0357880394638446,0.503007834980478,0.333123191284333,0.106064387070749
Solang8_01g000520,0.328086033730507,1.35623495580763,1.6906123331895,1.858012274599
Solang8_01g000530,9.99515677410329,20.4972189846364,27.7144289452163,4.23361394544398
Solang8_01g000540,0.44688754077056,1.97008235454337,2.95564490259872,0.240254053855449
Solang8_01g000550,32.2109239470416,50.9493745517823,81.9228875678344,25.6876853321422
Solang8_01g000560,171.236236912631,48.8582323662687,29.4057930290038,169.231643177408
Solang8_01g000570,1.71242997243335,3.90578392174127,8.15994213022452,2.13666541102339
Solang8_01g000580,0,0.211836025565672,0,0
Solang8_01g000590,40.8685286158041,20.1573915388977,29.3699052783981,33.6888431803575
Solang8_01g000600,305.15478740426,195.265552105529,274.182516745385,172.059583254878
Solang8_01g000610,7.99950455559663,8.63470065706037,12.6079155709583,4.07142235092024
Solang8_01g000620,5.21058964941363,13.9805519967446,18.9552207713705,7.86148647823777
Solang8_01g000630,13.5920691563436,84.3159696079263,19.2732248891169,24.1185960299686
Solang8_01g000640,2.32310522522753,7.02873058264898,7.75769558131521,1.28743837297161
Solang8_01g000650,2.18284186272973,4.85439452634605,7.88594338809665,1.77508335666008
Solang8_01g000660,7.82136188138068,11.4756963825343,19.8376562362802,10.6451937888847
Solang8_01g000670,0.434788579037355,12.023283837777,13.935427359458,7.20657347378613
Solang8_01g000680,8.54574156528251,9.26494338295513,13.4131129614621,7.71594886147485
Solang8_01g000690,3.08604284960547,9.61838189724861,8.34076668917834,2.28304023126676
Solang8_01g000700,50.1260673377604,40.2416362188833,110.395387395906,57.0722129414469
Solang8_01g000710,0,0,0,0.32007765592342
