apices,In
Soletu1_01g000020,77.6040347793344,66.580058889713
Soletu1_01g000030,1.81975934756282,1.04194696845744
Soletu1_01g000040,16.6594613485954,16.1713539146729
Soletu1_01g000050,0.375924900883904,0.147811133682324
Soletu1_01g000060,78.4301859784167,59.6439957033717
Soletu1_01g000070,52.497261836843,31.9490491032285
Soletu1_01g000080,13.9561777356841,11.8764658350975
Soletu1_01g000090,8.95195861744763,7.17153303259762
Soletu1_01g000100,14.1657062521196,9.21028415480786
Soletu1_01g000110,0,0.0202239756630472
Soletu1_01g000120,9.70997390780715,7.33943799165663
Soletu1_01g000130,1.15112933422092,2.5532753988002
Soletu1_01g000150,22.9384338151163,16.8251517647018
Soletu1_01g000190,15.6972211032789,11.4607088011429
Soletu1_01g000200,12.0190431459281,18.7712065709686
Soletu1_01g000210,30.2051763485143,19.8600139094432
Soletu1_01g000220,18.9588727446907,0.873499498630281
Soletu1_01g000230,3.25811591157744,1.80880636140407
Soletu1_01g000240,3.31236172876334,1.2527344530994
Soletu1_01g000250,0.21577579196842,0.0351550275451378
Soletu1_01g000260,1.96260009371824,2.4364039126386
Soletu1_01g000270,0.0626071418649526,0.216093526601822
Soletu1_01g000290,0,0.0760893399425478
Soletu1_01g000300,0.399798765220251,0.200516654231437
Soletu1_01g000310,0.238992198240208,0.0234906687070952
Soletu1_01g000320,53.150781900887,18.1432193031161
Soletu1_01g000330,0.249599152050024,0.578057142330657
Soletu1_01g000350,0.0314973610248043,0.043403979959632
Soletu1_01g000360,63.0222369215157,40.4751341402985
Soletu1_01g000370,95.0047626633991,56.5522306953819
Soletu1_01g000380,7.81812508193033,8.69745114428472
Soletu1_01g000390,23.1071537265692,16.0009903409587
Soletu1_01g000400,15.2384388202544,10.9998224520573
Soletu1_01g000410,0.0167043196878045,0.0922139489061122
Soletu1_01g000420,0.0931175673788666,0.0579680763221568
Soletu1_01g000440,1.26948862826483,3.3322005707284
Soletu1_01g000450,0.00435277317066173,0.10396286735865
Soletu1_01g000460,3.34094778571546,4.00319858982124
Soletu1_01g000470,65.3508282891508,59.3774325370203
Soletu1_01g000480,15.7431485806792,10.6423446430175
Soletu1_01g000490,1169.81690815104,1107.94820576521
Soletu1_01g000500,0.76150281834053,0.317050666123612
Soletu1_01g000520,1.24635529092014,6.37422542137615
Soletu1_01g000530,12.440075614954,9.97574956736065
Soletu1_01g000540,1.30246993125646,1.22266267688979
Soletu1_01g000550,3.28275319919231,7.31530532940295
Soletu1_01g000560,2.34468089166831,1.12638897190042
Soletu1_01g000570,1.33038913981378,3.39563035639505
Soletu1_01g000580,14.7453266456314,18.1521194339537
Soletu1_01g000590,109.19190480846,86.9169927937271
Soletu1_01g000600,4.5250178247321,5.13299023863919
Soletu1_01g000610,24.1680522027653,21.8342128521759
Soletu1_01g000620,1.70953012838402,1.27482552218403
Soletu1_01g000630,14.957922634395,2.35668090533991
Soletu1_01g000640,21.6857845728041,13.0097661835495
Soletu1_01g000650,14.9316339424512,19.350421606366
Soletu1_01g000660,17.5759020801799,2.41419668051105
Soletu1_01g000670,1.18030120996238,0.892741519090576
Soletu1_01g000680,0.0524989970886539,0.044029707826763
Soletu1_01g000690,0,0.0726269782896613
Soletu1_01g000700,39.7177484347687,39.3492394554321
Soletu1_01g000710,27.6291676428374,25.17001866432
Soletu1_01g000720,23.2588781695659,15.7357028987396
Soletu1_01g000730,334.593464073205,215.262317545958
Soletu1_01g000740,164.009662079697,164.253480459056
Soletu1_01g000750,37.6039989529391,55.0533144817766
Soletu1_01g000760,53.8027219384455,60.442902529293
Soletu1_01g000770,114.053106720206,93.9921898328666
Soletu1_01g000780,32.9185083393149,32.8306102264611
Soletu1_01g000790,0.0417246191363725,0.0776732096507571
Soletu1_01g000800,227.241526844321,216.298089410595
Soletu1_01g000810,6.87491521298164,3.7260615004732
Soletu1_01g000820,1.35215974379489,0.828841461112137
Soletu1_01g000830,0.0173754175064608,0.10980736117199
Soletu1_01g000840,14.6356902371644,16.5986190724454
Soletu1_01g000850,0,0.219719837015634
Soletu1_01g000860,0,0.252764353882563
Soletu1_01g000870,0,0.485270726761788
Soletu1_01g000880,4.00423089384989,2.00315674599835
Soletu1_01g000920,9.34471215376181,8.30721489934437
Soletu1_01g000930,0.0472335203614527,0.293972494665796
Soletu1_01g000940,56.7956668971064,44.59480600179
