coty,In,hypo,leaves,flower,fruit,root
Solpri1_01g000010,4.49660737441357,18.0288732618475,14.9693224962229,5.57746140113895,7.76452386107429,9.39664420428026,14.4606087937029
Solpri1_01g000020,0,4.08758137601899,0,0.0998890933071928,0,0,0.52737263226073
Solpri1_01g000030,216.260366551258,221.17636267252,202.368994555174,283.518736241892,106.152295330778,217.947441571005,202.153856435304
Solpri1_01g000040,0.199931368544584,0.0531644967068,0.464344742639092,0.139221512044682,0.186092188314908,0.087134625652149,0
Solpri1_01g000050,22.99678980422,36.044662037002,32.2657483234314,19.317248282028,49.7843648383332,52.7962117004518,65.2792337557597
Solpri1_01g000060,989.435448366812,352.237001749048,776.136638329941,874.566470307428,294.200974843635,143.749180213863,646.527410138877
Solpri1_01g000070,49.859665199409,67.2758398495329,60.5894048810022,45.4784131306742,32.5411688507595,49.5459383876524,126.445728705969
Solpri1_01g000080,93.8148245620866,143.336564852943,232.572239716205,90.0423093262044,228.047669417755,75.0736587724541,429.088583013222
Solpri1_01g000090,61.103520772426,121.577379106796,107.982944786081,72.4042952610308,24.228114265183,37.3539861957016,85.8299348898327
Solpri1_01g000100,50.7160495558552,14.3965303501475,20.6569417397811,42.4362158435965,6.05737820289945,10.8787348963944,12.9181040786867
Solpri1_01g000110,6.69505376817484,17.7021233404056,18.4642756548445,5.73863303169492,8.89434636799383,6.47595565007394,19.8491717977599
Solpri1_01g000120,444.49507308838,62.3624799194615,98.2252484926046,418.024020990555,10.4381409459895,7.44463204754909,10.5700230942044
Solpri1_01g000130,0.2575662735757,0.0274176603970206,0.799152119811627,0.0819772126646593,2924.39243810841,0.275290615879735,0
Solpri1_01g000140,0,0.0279447143418869,0.534718127402259,0.00599196576937477,0.0154499044298181,0.0258364146045796,37.5031917362108
Solpri1_01g000150,0.045692639800374,0.0580129313915141,2.90468733382097,0.0264655737462851,0.276731439545187,0.108111061835317,19.9895084690409
Solpri1_01g000160,0,0.160426936086123,0,0,0.56414633730638,2.53173618132828,0
Solpri1_01g000170,1.42537263704467,4.41868456500542,3.20375004143555,1.33280149907813,1.74037106975761,1.96690281261255,3.2840161379546
Solpri1_01g000180,0.82553822282921,1.06719077190186,6.69033781461336,0.70136353310787,0.0373550968240427,0.118834810996155,14.3945253114338
Solpri1_01g000190,24.3053158544799,39.8732071561016,70.4913311074585,18.3130493965423,19.7067927543315,76.5420400675515,46.8781785676042
Solpri1_01g000200,0.399013891317995,0.707218884964465,0.374775993038543,0.325312988469247,0.13208966601655,0.773249819543952,0.675411032040631
Solpri1_01g000210,0.358623041027105,2.90093633231231,1.58652857208599,0.906888431193656,1.0085315597113,0.436496007363495,0.974818968451114
Solpri1_01g000220,0.106847284060496,1.49314186334403,0.375547407855268,0.216315411107916,11.5514566840658,0.653664784553526,2.4021421901393
Solpri1_01g000230,37.6231012460259,94.2789595561857,104.354252554516,35.1885939293028,60.2400262161014,107.287964013622,82.2531158507625
Solpri1_01g000240,65.7742133112329,62.8240484292896,56.9541437110709,51.7277818087265,20.1449885227094,62.5396964558633,19.379304595567
Solpri1_01g000250,7.16272936094966,11.5869548097503,15.2444331332338,3.94729815876717,7.00357392228482,11.9990984433244,20.5844814633505
Solpri1_01g000260,5.99689213391061,8.96000937525184,7.08208738151419,3.60501761761937,7.26354235244086,4.40436918087174,4.91153697956871
Solpri1_01g000270,206.093022653397,106.726006478665,74.2592806747201,201.447716726809,71.4693807737231,19.08071658267,10.6325614622419
Solpri1_01g000280,0,0,0,0,0.34139558293969,0,0
Solpri1_01g000290,7.48777482023119,25.6349730660312,21.2003070476165,6.0662751357609,6.21158979147112,92.1895494742125,10.6592965414894
Solpri1_01g000300,4.13708833216028,8.78514861376864,11.7945367236752,3.96267965305916,5.85235503498024,7.7775636844614,12.3323643166438
Solpri1_01g000310,19.984945162936,31.1468424052103,30.7279137114703,16.5930060325728,68.9319114233539,30.215903357124,48.0417988867508
Solpri1_01g000320,50.1960936711493,61.0346816759401,69.7942085069342,43.3880191116801,52.6716177076668,66.5470540907386,64.8044372691298
Solpri1_01g000330,0,0,0,0.0311099887924855,0,0.0890191934291035,0.0487027127383313
Solpri1_01g000340,6.80295441959929,4.77090318276112,1.9681902250589,6.43574326545692,4.23546254220232,4.74026131909566,1.95606893715695
Solpri1_01g000350,0.169601104019975,0.704587772403157,0.121360475328249,0,0.311889302126592,0.627307946235718,0.231428848350524
Solpri1_01g000360,0,0.134848946781753,0,0,0,13.086401605351,0.436888018408447
Solpri1_01g000370,2.41975993642224,2.15859134528516,11.3470864715453,2.29973945771612,6.11378096118254,7.31560511774615,16.9887162850149
Solpri1_01g000380,4.68145737546715,10.7657625049065,15.0882350771937,4.0168356032864,8.03939255257461,8.07421504654717,5.13784751525782
Solpri1_01g000390,0.0280254327861135,0,1.52267612991908,0.0849617779889817,0,0,1.48570621164791
Solpri1_01g000400,0,0,0,0,0,0,0.128592827982424
Solpri1_01g000410,0,0.107802644282085,1.29232282165375,0.046230549826599,0,0.0461249958676052,0.902774128868763
Solpri1_01g000420,0.40458629139441,0.53196367523434,1.20462520202701,0.26223673944256,0.204524442401858,0.217574258837151,3.21856064428172
Solpri1_01g000430,9.1798014795074,22.0527243445805,17.4007434297601,16.4524687433733,11.7093371400313,10.5867853354393,9.24259672209276
Solpri1_01g000440,8.89766522712553,33.0785936937624,42.0370003021194,13.0369679181819,5.46442458984343,9.83179445522146,13.1450448836519
Solpri1_01g000450,9.73280723303333,17.4152502061323,15.0965017955651,7.91174923663635,15.1507889085009,23.7877719461637,18.3466666231425
Solpri1_01g000460,0.0179693325436729,0.145623666962808,0.981146766434773,0.138502992584528,18.5921747059939,1.06883174644294,14.0701673144271
Solpri1_01g000470,0,0.1063289934136,0,0,0,0,0
Solpri1_01g000480,0.450946822943376,2.39243254901956,4.54406342453306,0.957936646212386,0.330673400675465,0,2.76075552721108
Solpri1_01g000490,13.5175788893098,37.5730441620071,48.4270072636896,10.4169836267054,13.055363232032,31.1525070193903,56.4744194089774
Solpri1_01g000500,0.889752815603777,8.83766428517178,3.02701931887448,1.42504188368582,1.24809770434647,0.0769353104084229,2.01069166578138
Solpri1_01g000510,33.8054240924925,65.1268584670243,75.2787589862751,21.6371024742962,66.9944934815669,66.5442229471804,81.4717817660673
Solpri1_01g000520,174.406757683177,36.8110245796338,31.9730732934495,152.187739212465,14.2303716166417,35.1197133713376,2.59025219297311
Solpri1_01g000530,3.41753706033451,8.66661419566787,7.32231310047143,5.40347631757793,1.73359304892967,1.43079920443791,4.5699995713098
Solpri1_01g000540,1.07669918274255,0,0.844757959325966,0,0,0.212638459676098,0
Solpri1_01g000550,65.533591708679,34.7788003732352,34.1661821178012,33.0932082604741,7.73310985795422,4.99763071885215,10.8245453685861
Solpri1_01g000560,423.16244886893,555.160196310346,545.361957328787,679.769530616792,228.621208411118,452.441398930519,485.226899424249
Solpri1_01g000570,1.78654483846015,8.60629019884584,9.07486674327138,1.81125766957384,2.38166713670156,3.92058047905984,11.9570378560721
Solpri1_01g000580,12.9461262606081,25.9929931099824,26.6385850628278,10.4138281060508,28.6570980957019,20.0847095143327,25.767100651562
Solpri1_01g000590,6.19120403867023,17.7256767735309,11.3292026326344,9.41660512018464,14.8307688814369,12.8831243462065,8.57893748139226
Solpri1_01g000600,3.67234677329556,10.7720127322539,4.89896507544348,3.45010531347107,1.11350022043377,4.44116302647689,5.09956558696572
Solpri1_01g000610,2.52711687659475,12.2830561822942,10.2178032694924,4.63220259592491,2.53770215060314,6.70331226431252,4.56876206774044
Solpri1_01g000620,18.9961948405518,29.1769254573269,23.7013753507307,10.945828316896,25.7745290273224,17.2610899632661,31.4008252704681
Solpri1_01g000630,0.782590619166574,4.53526495329915,6.48668061216143,3.9742868182746,0.804198791220148,0,8.03414719974759
Solpri1_01g000640,7.71030382244697,8.80236213358847,22.3757900970581,11.4523668203958,12.4193068826678,27.3773225662541,22.4141652531323
Solpri1_01g000650,2.58813719636883,13.6988518450544,12.6014859292031,3.02833896866743,4.20273242963067,5.08094607862563,14.1570550868083
Solpri1_01g000660,57.7622083243627,74.7824277911637,87.5528651784275,63.6528403790651,48.0581756295912,28.1069277163552,56.0663327674172
Solpri1_01g000670,0,0,0.0786121284777972,0,0.0828908612902902,0,0.119431861345154
Solpri1_01g000680,0.118842025105671,0,0.160268162427077,0,0,0,0
Solpri1_01g000690,22.4358472765504,287.415188875036,892.670514830534,71.4446289709726,2.6341086591336,0,3.28243738128919
Solpri1_01g000700,119.559395350353,0.081378346355328,488.571492808755,26.2215633464585,0.354009997362976,0,23.8445472813568
Solpri1_01g000710,0,0,0,0,0,0,114.262028447525
Solpri1_01g000720,7.62513552090324,83.7280222034523,25.4058853035857,11.8849905683123,9.31619883490421,2.71921747662106,153.281707880657
Solpri1_01g000730,0,1.18355513396792,0,0,0.582123565614825,0,0.32486609174507
Solpri1_01g000740,155.975772061841,11.4813732253036,18.3991568246117,160.282728861193,0.875051930818082,2.24145294906385,0.0230075985093821
Solpri1_01g000750,2.62327009750029,6.3160029933896,7.31359977996551,2.81982134703973,4.19106620470187,6.83873729782964,8.40367652386361
Solpri1_01g000760,14.5950885845113,26.4376191753498,35.2869716485749,10.4820140444864,29.982947692308,22.0295731732935,39.3361505969143
Solpri1_01g000770,11.1008730908884,95.4279912316281,61.1776070986067,15.0892956129862,17.5923695212948,22.4066707685709,41.5020045318491
Solpri1_01g000780,2.44281329717517,4.93433536010722,5.16369303761445,1.16940153350768,2.97374241028976,6.45265872060591,7.00700245670022
Solpri1_01g000790,15.5223346113013,758.578767700546,24.2191110627931,30.8757152075881,216.476891332986,214.231747826466,60.8880245651669
