apices,coty,In,hypo
Soltor1_01g000020,0,0,0.0630518871744563,0
Soltor1_01g000030,60.5779093949744,347.970465047085,87.4083068933965,62.9835468065969
Soltor1_01g000040,24.8849179706258,8.36746582021859,16.7374862385463,31.342162562582
Soltor1_01g000050,10.029245745889,23.5847107252635,14.3254039824884,11.5139021353006
Soltor1_01g000060,390.19630453382,60.7174862642285,221.890186953918,152.614844434559
Soltor1_01g000070,140.589658429515,93.686247753586,207.843854383926,234.784696232124
Soltor1_01g000080,321.063960674725,141.031948070874,89.1417777771105,93.9217045606555
Soltor1_01g000090,192.315217202146,1513.23817712713,146.062712610735,785.047182594074
Soltor1_01g000100,30.9721582278871,29.2567945962398,44.4985104252272,30.359748819063
Soltor1_01g000110,0,0.0141028274016227,0.0149236646383147,0
Soltor1_01g000120,62.5690244746367,196.850477346219,87.2582077391788,119.234976265409
Soltor1_01g000140,17.4820472424594,8.15645240111984,27.3404615733958,23.4779763889863
Soltor1_01g000150,2.36194980757504,2.06938878377681,2.16771582224318,9.35596788431227
Soltor1_01g000160,0.583472860703176,0.899290930814372,0.201045824242281,10.6907246031173
Soltor1_01g000170,0,1.71482895943895,0,12.5926890908061
Soltor1_01g000180,2.42769379684693,0.825618075627758,4.75819772498047,1.96822056878675
Soltor1_01g000210,9.2098626608125,2.30512394331833,8.41821835032485,4.87993800862114
Soltor1_01g000220,0,1.23845798271187,0.248221777190496,11.40697280773
Soltor1_01g000230,18.3478374971447,38.2905890487933,32.1343073107412,109.103349483114
Soltor1_01g000250,0,0,0,0.362150504264837
Soltor1_01g000280,0,0,0.0162075177744713,0.0323170840813774
Soltor1_01g000300,2.08763852915712,0.974932164733924,8.70646839626732,2.22293678026172
Soltor1_01g000310,1.7119432870237,0.103495063683048,1.81948614090377,0.265160027229352
Soltor1_01g000320,134.453655883791,37.0416489816325,112.727351020332,100.547795522465
Soltor1_01g000330,110.908933216155,87.7793556950881,160.28944175474,65.2935659923815
Soltor1_01g000340,11.2041661038409,3.11538516808159,14.4991051518254,10.861895057884
Soltor1_01g000350,2.70434858176878,2.52910469964147,5.10797540100552,5.25360944506172
Soltor1_01g000360,163.401759887102,127.327888451807,155.479251890568,24.1652563999467
Soltor1_01g000370,15.7796722106291,45.5337805892754,45.6917145554547,32.3265886511952
Soltor1_01g000380,8.21525752738701,6.9050046046504,17.7994717991382,26.3828620693539
Soltor1_01g000390,16.5408653365876,19.9059450065486,33.529922687158,26.3664697297979
Soltor1_01g000400,42.8823007611732,50.6977312818155,55.2237799839014,80.8796822623492
Soltor1_01g000420,1.41599521251815,7.36912695002531,7.09488219254512,0.987615831511641
Soltor1_01g000430,1.30316595229808,5.44606237244856,6.35235251697478,12.5670504738862
