apices,coty,In,hypo
Solins1_01g000010,0.152742765285751,0,0,0
Solins1_01g000030,15.125917931299,2.53656432420656,8.96497517275631,5.78176970822267
Solins1_01g000040,11.9010393565496,1.53245660140893,7.64036730395847,5.43321588363545
Solins1_01g000050,10.1802141130389,1.62833786285345,8.98500857892573,3.66170510252877
Solins1_01g000060,53.0876303010905,9.56014070961119,30.7242509802746,24.8934343069893
Solins1_01g000070,8.15646940694514,4.85191589864068,10.3056215698168,14.8779626983411
Solins1_01g000080,0.0113559329117355,0,0.054258609284845,0
Solins1_01g000090,282.152456075905,314.517998151585,211.740703401465,159.731847844958
Solins1_01g000100,0,0,0.121873463544472,0
Solins1_01g000110,41.3520704971001,26.3943423308495,42.6635506227158,40.4704973721832
Solins1_01g000120,668.176950468784,2158.41940277898,578.293845407144,1100.40611232413
Solins1_01g000130,50.359135506851,41.0989627816143,65.4817034347235,48.1254635375152
Solins1_01g000140,258.60654862259,189.075636155598,186.302770236878,169.167672771777
Solins1_01g000150,240.406969355843,111.693881199539,210.57010381184,164.334065529951
Solins1_01g000160,35.10754968589,61.0712515716294,26.6777415138741,24.2822798285571
Solins1_01g000170,15.5910918536412,9.48671233200391,20.2660213950571,26.2085584348918
Solins1_01g000180,48.6703881792125,482.824937919312,86.4692553035842,86.7228719763876
Solins1_01g000190,0.0889069007712856,0,0.126384168818596,0
Solins1_01g000200,11.9927190769129,0.690140864877537,9.17986150668478,8.344959042252
Solins1_01g000210,0,0,0.0748171437704183,0
Solins1_01g000220,5.69355674264176,2.77953518988285,5.54531411952912,3.33185251428408
Solins1_01g000240,1.81005439429642,1.12840399017942,2.7019850607478,29.0915343884926
Solins1_01g000250,46.0452590705755,18.3783264198889,34.4352477069651,66.0631807609606
Solins1_01g000260,6.69054457198454,1.77903478804752,4.48444553771564,4.00380470607339
Solins1_01g000270,1.76055175261011,0.117622740195148,1.26053602258342,0.369191751893746
Solins1_01g000280,152.887858708926,32.9261602625312,75.2472895397662,78.2251167305263
Solins1_01g000290,77.855922352506,85.0530448374103,84.3130614295672,86.7264565401639
Solins1_01g000300,19.0092819536517,2.33086237482059,8.78710549960948,9.72204810446195
Solins1_01g000310,16.0591626938055,5.60463213199587,10.3200061870958,10.6002838872612
Solins1_01g000320,318.508723889069,212.278602957572,229.495673454871,65.5767124583292
Solins1_01g000330,40.3346622047704,16.4491991966592,33.6939563221355,30.134752074319
Solins1_01g000340,0.337177631682196,1.30741359908393,1.91960718505359,1.83893512233697
Solins1_01g000350,10.8087343469882,5.69479797973829,10.5865957376195,10.0809896872501
Solins1_01g000360,55.5156210771865,29.3814657713237,35.8614923382055,36.1346819865787
Solins1_01g000370,73.170097721253,55.0581117343191,60.4409954686731,59.0921602029875
Solins1_01g000390,5.14895509945355,15.4212144923779,6.95396073130402,3.18517726025086
Solins1_01g000400,1.36743334783477,0.416078886227806,1.01152875926538,5.17535413827962
Solins1_01g000410,11.6107168863313,44.6246439276936,13.9850933482693,8.61830865212089
Solins1_01g000420,8.27456910108804,4.78586362860402,7.93658527837181,9.58235795329305
Solins1_01g000430,0,0.0200497532867582,0.0587150800930397,0
Solins1_01g000440,0.0891240090806661,0.0714635743085267,0.0537685315235627,0
Solins1_01g000450,0.0334752432035895,0,0.0251588719346992,0.0116233497860088
Solins1_01g000460,12.2305267647297,1.08594553153843,6.88444780729658,2.96219801210111
Solins1_01g000480,1.56470467350775,0.171594249777861,1.04622420583783,0.858448373512519
Solins1_01g000490,1.22833245270634,0.350046219258555,1.00538073578902,1.01958393090863
Solins1_01g000500,1.6745156499881,0.289042950312467,1.04490591101299,0.81197410350531
Solins1_01g000510,20.8101332211807,9.48649495701609,19.9751032875894,11.9588156083479
Solins1_01g000520,51.0746545065712,8.02148514935155,21.3699027756459,30.7602056021403
Solins1_01g000530,19.6422156290252,8.86435104676828,16.7350896787998,17.3273508847952
Solins1_01g000540,0.0395688859120206,0.219847089283098,1.99874419136061,1.14097964933311
Solins1_01g000550,0.998801707403346,1.21595902401006,2.13669407852442,3.45444105666973
Solins1_01g000560,56.253439501046,6.08025969581158,32.7836521755389,22.511186899623
Solins1_01g000570,32.4984803714554,0.896783485851141,13.8946726675279,4.11430152337143
Solins1_01g000580,80.8077562202493,39.9015396819362,60.1202145204546,72.1954225320174
Solins1_01g000590,33.6563994798054,168.789820857528,44.4131790349868,45.8188820734995
Solins1_01g000600,23.1267618435936,2.52028360044504,14.5710477551743,8.88652544244228
Solins1_01g000610,0.0268139747057932,0,0.08772760406476,0
Solins1_01g000620,23.5386220359044,58.9235797168213,31.1964406263071,28.3017064058075
Solins1_01g000650,440.63969331841,167.310556470074,250.421164007756,196.078788355423
Solins1_01g000660,16.7757717934323,2.74495014626816,9.45994161121803,9.63062624310311
Solins1_01g000670,25.3802082484961,8.03918649396154,17.4514326985798,20.5276264734381
Solins1_01g000680,34.8095065840622,29.7979096959942,41.6394685122377,38.3033778416022
Solins1_01g000690,14.5240384490696,2.45108616007785,12.1219747147016,5.74414851699969
Solins1_01g000700,24.8971685925807,3.94160450279767,16.2991626551005,12.5973028393343
Solins1_01g000710,16.9758861603403,10.7268110612082,21.3029229817911,20.3948194589443
Solins1_01g000720,1.93845181447009,3.51183323226683,4.06752866579561,12.7588777758013
