apices,coty,hypo,In,leaves
Solqui2_01g000010,0.999204795961727,2.00381540675078,2.70288723455154,1.74544711011732,2.30977405490594
Solqui2_01g000020,11.6428211864784,322.86874117075,67.7303379643674,29.8164623381442,252.237588159892
Solqui2_01g000030,17.6941782827351,5.87828244728649,22.4864788892799,16.8678876796778,4.68318869064304
Solqui2_01g000040,3.68511868178287,17.3468132655594,3.84728429565002,4.89042858572673,11.930796373985
Solqui2_01g000050,365.349779157369,99.2716430644729,162.474056560247,231.20593909779,110.608629543014
Solqui2_01g000060,98.7094017544391,36.4279918568912,130.231526717222,140.272255924841,39.4704610454307
Solqui2_01g000070,64.8817457680248,58.9289314734554,54.3367552064419,76.3236983826092,68.6203201658634
Solqui2_01g000080,1.90648623301771,0.54884805594551,0.826823261176166,1.27210532881104,0.446043366059319
Solqui2_01g000090,374.983063225977,3222.69553404871,578.744402168845,1570.87396969801,2625.08830386866
Solqui2_01g000100,28.0403229017815,11.0868801530713,21.0532774786875,33.3415127247518,14.2037143773394
Solqui2_01g000110,0.0759958319727421,0.0947762000403073,0.217200435880792,0.206254575476046,0.16947598956671
Solqui2_01g000120,60.1000062257139,152.957879468305,81.7335010601616,81.5254324753657,133.192547446573
Solqui2_01g000130,0.155455935725435,0,0,0.306900658326118,0.216967411380999
Solqui2_01g000140,3.51282843332878,2.02697901318226,5.3518373477923,2.83441961484914,1.79418063409019
Solqui2_01g000150,3.36491687967718,1.24899180678074,5.83104793801114,0.572117802858541,0.71732749744661
Solqui2_01g000160,0,0.311134091226537,0,0.17665638870596,0
Solqui2_01g000170,2.33532623616603,0.457951017816691,0.339156533795953,1.83160646282672,0.818874570431673
Solqui2_01g000180,0.142673563544343,0.200790023989218,0.167212153429969,0.348794420526968,0.235711403117749
Solqui2_01g000190,0,0,0,0,0
Solqui2_01g000200,0,0.125102489053404,0,0,0
Solqui2_01g000210,9.28190566805515,2.63132231672527,7.4727568528927,5.19480646085719,2.65403559475872
Solqui2_01g000220,0.0681354034730355,0.555177031372282,17.5277571624113,0.583334814471431,0.731337243733556
Solqui2_01g000230,71.9470327413573,28.9487315669541,120.823964885421,79.5979619374378,30.9858897134406
Solqui2_01g000240,0.66051667891489,0.502480861534575,0.290714508405816,1.14348705928007,0.219397051687087
Solqui2_01g000250,0.0971163758811069,0,0,0.0935403572345182,0
Solqui2_01g000260,12.0224846585979,4.36087208905463,7.27023074581144,8.90822929311468,4.29384315084005
Solqui2_01g000270,2.22917427216432,0.265901832978188,0.34963371304081,2.80995977323866,0.41106814133818
Solqui2_01g000280,72.0185985316351,15.3110961316618,35.8827113783839,42.6569926853565,17.4931608717332
Solqui2_01g000290,62.5749634728365,50.981930665218,47.0907587432374,32.9473697884725,36.8437438940187
Solqui2_01g000300,15.593032091472,5.20687394279687,8.06396837873368,12.6761133500613,5.96817666557616
Solqui2_01g000310,3.24225724526577,1.97606740564817,3.4046239075375,5.32075101440018,1.84691002338535
Solqui2_01g000320,250.977194964534,224.508780891334,98.8091041157475,569.714556084414,197.619184614533
Solqui2_01g000330,16.6062673079628,7.95953963290092,24.1994887267839,17.61447929686,7.08344199423203
Solqui2_01g000340,14.6489907051329,2.90836466451062,18.8919455147308,9.77633557250709,3.88174671570875
Solqui2_01g000350,30.5831889693407,20.6955310630137,31.0266619582291,33.5193868139678,23.0796336759954
Solqui2_01g000360,23.6679415377012,17.6611285789772,29.3816329399423,21.105383275823,15.7419333435314
Solqui2_01g000370,0.124524283053258,0,0,0.0590152597431086,0
Solqui2_01g000380,5.88505644218819,7.01692492281397,4.05044851500743,4.55336118633059,5.55828336615787
Solqui2_01g000390,9.05836441616702,1.78234687113142,31.3175128623692,13.9036855254413,2.98898590916323
Solqui2_01g000400,6.29431654382781,38.1086999276557,5.18967591497056,7.49033376386397,32.6847942806764
Solqui2_01g000410,20.4445825844645,5.37861475929239,23.6977666815964,15.5107934161677,6.71056578127173
Solqui2_01g000420,0.141789308747022,0.585743998793137,0.264357151149093,0.285731260122066,0
Solqui2_01g000430,0.968112525109046,0.665387638948028,0.646446887787309,0.787761960406728,0.51184046411314
Solqui2_01g000440,0.15688836840327,0,0,0,0
Solqui2_01g000450,5.57494509214685,1.05713125396447,4.02581863927938,5.3846808801817,1.59191396121783
Solqui2_01g000460,22.1220074394579,10.22583623489,10.9429687843162,16.1160705261037,13.4040333051589
Solqui2_01g000470,19.6689127955914,8.44944589305316,12.3868808697953,20.7982303511445,8.73077499641705
Solqui2_01g000480,10.036604037779,3.45975039352752,8.93040350702034,9.11594112312004,4.0689278848882
Solqui2_01g000490,0,0.19623040502735,0.669305099122562,0.478989806362271,0.228267602912146
Solqui2_01g000500,1.21861432582851,1.43151240640412,28.5310200559344,1.76542891321552,1.5543647196868
Solqui2_01g000510,0.694091169599944,3.7737899942633,6.75769701105796,3.82249641440839,2.6334115447826
Solqui2_01g000520,55.097637189004,26.1589627713888,14.1731228472668,57.5660855171415,36.5394387564822
Solqui2_01g000530,15.6719948179873,0.588760329563644,1.12695847042282,12.4732146032152,2.88843108107942
Solqui2_01g000540,54.9430232411517,14.7905928404045,47.242593814144,51.4040072917925,16.6474062114223
Solqui2_01g000550,11.8372821959419,47.6537506499222,21.5321135923256,13.465895289606,45.7937773991456
Solqui2_01g000560,10.5739671559037,1.80341271254813,2.75350437037949,9.20762768579004,3.31888562793868
Solqui2_01g000570,28.9852054337862,25.5054692041623,6.18271590001265,20.085839009323,25.5431635489438
Solqui2_01g000580,265.916738161293,267.811237109757,139.4942838417,287.859588892829,218.253490640704
