apices,coty,In,hypo
Solstr1_01g000010,0.578338907568941,0.52891231914279,0.244430607135606,2.78854873251742
Solstr1_01g000020,21.736594156315,268.972012948129,55.6693971310358,76.8453420762723
Solstr1_01g000030,10.4351246158954,13.9969791998737,22.8694072930893,29.2778239262185
Solstr1_01g000040,8.96736464680694,32.132860629516,14.1722805300335,20.3745405948647
Solstr1_01g000050,338.959215849924,76.2547133583281,162.837445403392,148.101298467422
Solstr1_01g000060,96.4077234017,226.128988627733,190.828162794627,216.476491617882
Solstr1_01g000070,112.238031656879,86.8559517584777,92.6005785939895,60.0259572766191
Solstr1_01g000080,0.490177488732212,0.448337067204918,0.691825220898297,0.421881931357212
Solstr1_01g000090,306.671705810719,1014.14869700668,411.983956620422,326.041704591898
Solstr1_01g000100,34.8702754577598,25.4654883124075,39.1056138365218,31.8456054849183
Solstr1_01g000120,99.8471079880989,318.571985713918,154.809753667519,194.277535440282
Solstr1_01g000130,0.157465606507997,0.0246562023460383,0.038581111901433,0.122858037747345
Solstr1_01g000140,0.274886767997244,0.344178482156275,0,0.286225131941027
Solstr1_01g000150,0.600516246155997,0.243946867158315,0.519154325553954,0.799568140438147
Solstr1_01g000160,0.875204000042837,0.576695431164427,0.51469986693555,0.783768368069793
Solstr1_01g000170,0,0,0.163113765594319,0.73568803444217
Solstr1_01g000180,9.9621614233218,6.05387726316449,10.7677047759706,13.6990390030598
Solstr1_01g000190,0.213045339625661,0.031751884352398,0,0
Solstr1_01g000210,9.13765468095474,3.49633273875642,5.6647717758558,6.59604885531781
Solstr1_01g000220,0,1.96882426348903,0.612610366435667,24.6634896175336
Solstr1_01g000230,28.7663069580238,41.921869725359,42.0146447523946,101.62497570824
Solstr1_01g000240,9.8047013270845,5.33954885288967,11.0244788899971,8.65031508677539
Solstr1_01g000250,0,0.099957144848727,0.233605017237605,0
Solstr1_01g000260,0,0.116529156194799,0,0
Solstr1_01g000270,2.29319167470284,0.994054818673348,2.26659994135818,2.9637950713467
Solstr1_01g000280,0,0.16917689066635,0.00734832684681113,0.133686283686507
Solstr1_01g000290,1.12456149598081,0.162457434741129,1.22085784566965,0.720681816095693
Solstr1_01g000300,192.177180107735,51.7591673631984,100.287219313855,115.046442695289
Solstr1_01g000310,52.2250350779884,89.2485916458836,47.1922965044728,55.2742576287077
Solstr1_01g000320,12.3366681645721,8.12889953921757,11.1345694659878,12.0917506611191
Solstr1_01g000330,7.35266233098318,5.8046202692112,11.1613983851044,9.63610642953318
Solstr1_01g000340,87.8363224859687,81.5876366024343,278.641380406074,42.3632022174167
Solstr1_01g000350,11.6558616479202,19.5935476118881,7.86393674698643,24.7473418391024
Solstr1_01g000360,7.58953070752583,5.29907703975466,8.67811598364253,19.0190649022016
Solstr1_01g000370,24.0686911459324,26.5944409004087,39.8981616817226,37.9487493874379
Solstr1_01g000380,53.4231414934728,59.5087257980203,50.0436589897774,87.1622170796383
Solstr1_01g000390,0.204206032562446,0.0239024372548626,0,0
Solstr1_01g000400,5.13361147459696,15.3145636185701,7.95210241672075,1.87011272722532
Solstr1_01g000410,0.66849443157091,7.33829764665789,11.8600836824468,12.9347867868512
Solstr1_01g000420,12.3324200006036,46.7565955946898,16.4923164733709,13.2104251820229
Solstr1_01g000430,6.07678929482187,3.54845319354566,8.11780080430653,9.1560089766221
Solstr1_01g000440,0.271993223070957,0.0844232323940234,0.377714616175608,5.2029658962931
Solstr1_01g000460,0.0605339669819901,0.213248382918713,0.248793995677399,5.05545767238267
Solstr1_01g000470,0.166093198661328,0.33348653167351,0.535903245541695,6.08456437848733
Solstr1_01g000480,0.445506141236912,1.30054481426236,1.4297189596418,16.3700217455155
Solstr1_01g000490,52.6725337754718,40.1805663563953,39.869824529425,34.4627109759084
Solstr1_01g000500,29.2892657238813,7.84907633197912,31.0423396899417,31.3766349901634
Solstr1_01g000510,22.1564499266874,11.7621610464816,20.3494461475451,20.8860954560285
Solstr1_01g000520,0,0.133708964256167,0.198108289238397,1.23593333601712
Solstr1_01g000530,1.87393529138301,2.31714644640987,13.5309320169326,36.0816267832018
Solstr1_01g000540,0.082704843777863,0.913199551071022,2.50349261975866,3.08867528092051
