Smur2-1_S12,Smur2-3_S22
Solmur2hap2_01g000010,2.91640662555848,3.80417208559195
Solmur2hap2_01g000020,22.9704604322338,24.0921738475591
Solmur2hap2_01g000030,7.24613615453194,9.17478078572643
Solmur2hap2_01g000040,12.5347426324172,11.9554086945133
Solmur2hap2_01g000050,5.87897585848236,8.66378478512922
Solmur2hap2_01g000060,15.4487080266787,13.3379637066321
Solmur2hap2_01g000070,0,0
Solmur2hap2_01g000080,14.1038627053916,12.1061336490118
Solmur2hap2_01g000090,5.39499918142053,7.32816806840909
Solmur2hap2_01g000100,0,0
Solmur2hap2_01g000110,23.7025388472632,23.2197256573106
Solmur2hap2_01g000120,0,0
Solmur2hap2_01g000130,7.45642680436965,7.24093827955131
Solmur2hap2_01g000140,17.4698094438969,17.7904700800961
Solmur2hap2_01g000150,42.5696725021651,24.6635235210097
Solmur2hap2_01g000160,12.3561481471969,7.07697811840297
Solmur2hap2_01g000170,2.00822296509706,2.9224384043206
Solmur2hap2_01g000180,0.66832158585163,0.665833405016213
Solmur2hap2_01g000190,6.45010528937125,7.22248729608342
Solmur2hap2_01g000200,0.419797543044573,0.0321718941921819
Solmur2hap2_01g000210,0.480980453213017,0.740565975573588
Solmur2hap2_01g000220,0,0
Solmur2hap2_01g000230,0,0
Solmur2hap2_01g000240,0,0
Solmur2hap2_01g000250,0.303240401745661,0.453167143274694
Solmur2hap2_01g000260,0.241794320339303,0.321192150671888
Solmur2hap2_01g000270,2.75121484264397,0.652612378385134
Solmur2hap2_01g000280,52.7126211311661,25.1266874833588
Solmur2hap2_01g000290,0,0.121998795568398
Solmur2hap2_01g000300,0,0.0634517765306064
Solmur2hap2_01g000310,0,0
Solmur2hap2_01g000320,0.0345940669160148,0
Solmur2hap2_01g000330,3.30074064862011,1.40933652622526
Solmur2hap2_01g000340,0,0.0316090341648785
Solmur2hap2_01g000350,31.4856129032683,35.3137511226117
Solmur2hap2_01g000360,68.0233480325687,88.6496544465572
Solmur2hap2_01g000370,10.8471618707771,16.6551513129652
Solmur2hap2_01g000380,26.6953999617852,32.0389170295209
Solmur2hap2_01g000390,48.5620314947018,98.1393620332241
Solmur2hap2_01g000400,4.48968090266388,8.63386400470855
Solmur2hap2_01g000410,0,0.0387880351446984
Solmur2hap2_01g000420,0,0.0981343942340139
Solmur2hap2_01g000430,85.5017272174409,51.406943332667
Solmur2hap2_01g000440,0,0
