Species,Sample,Tissue,Tissue.Name,Sample.Name,Sample.ID,total_reads,pct_unique,pct_multimapped,pct_unmapped,exclusion_status
torvum,Stor1,coty,coty_2,Stor_coty_2_S34,Stor-2_S34,13360031,87.05,4.6657,8.2843,no
torvum,Stor1,coty,coty_3,Stor_coty_3_S35,Stor-3_S35,13596746,88.3683,4.2306,7.4012,no
torvum,Stor1,coty,coty_4,Stor_coty_4_S36,Stor-4_S36,13108270,86.0198,4.4003,9.5799,no
torvum,Stor1,In,In_1,Stor_flow_1_S37,Stor-1_S37,19218854,86.3046,2.4253,11.2701,no
torvum,Stor1,In,In_2,Stor_flow_2_S38,Stor-2_S38,10652830,84.8478,2.4781,12.6742,no
torvum,Stor1,In,In_3,Stor_flow_3_S39,Stor-3_S39,14627627,87.3243,2.233,10.4427,no
torvum,Stor1,In,In_4,Stor_flow_4_S40,Stor-4_S40,16457026,89.1077,2.4023,8.49,no
torvum,Stor1,hypo,hypo_1,Stor_hypo_1_S81,Stor-1_S81,14083623,88.4599,2.0484,9.4917,no
torvum,Stor1,hypo,hypo_2,Stor_hypo_2_S82,Stor-2_S82,12753070,89.1003,1.9887,8.911,no
torvum,Stor1,hypo,hypo_3,Stor_hypo_3_S83,Stor-3_S83,5378178,51.9907,2.4578,45.5515,yes
torvum,Stor1,hypo,hypo_4,Stor_hypo_4_S84,Stor-4_S84,13661464,83.074,2.0133,14.9127,no
violaceum,Svio1,apices,apices_1,Sang7_apices_1_S7,Sang7-1_S7,33166039,86.8388,3.3512,9.81,no
violaceum,Svio1,apices,apices_2,Sang7_apices_2_S8,Sang7-2_S8,34298969,87.2495,3.2066,9.5439,no
violaceum,Svio1,apices,apices_3,Sang7_apices_3_S9,Sang7-3_S9,36259049,86.5444,3.8723,9.5833,no
