Spse1-1_S28,Spse1-2_S29,Spse1-3_S30
Solpse1_01g000010,0.0842553528406544,0.116524098373472,0.0553513473001702
Solpse1_01g000020,176.973687788859,122.376197536228,102.450399614621
Solpse1_01g000030,4.27243344983833,7.87250311403691,5.39889439664085
Solpse1_01g000040,48.3964340198569,36.9885503191479,26.3445718882027
Solpse1_01g000050,93.9695955365951,108.674228981268,114.387794051037
Solpse1_01g000060,161.803870054106,187.360524342757,183.401741840162
Solpse1_01g000070,50.478087107851,51.9726224778763,56.5344518688945
Solpse1_01g000080,0.0954093201209854,0.0989624216328671,0.658128646717706
Solpse1_01g000090,436.525321694276,409.118735284434,460.329869620086
Solpse1_01g000100,33.4383347211607,33.9463628682899,38.2357182080405
Solpse1_01g000110,0,0.0448666195953257,0
Solpse1_01g000120,248.3210012219,244.727300351847,236.424569322484
Solpse1_01g000130,0,0,0.0615506981977893
Solpse1_01g000140,5.98091319217114,7.4387611154018,6.98712431881316
Solpse1_01g000150,0.543722386932604,0.682701666157586,0.40889666640254
Solpse1_01g000160,0.107045932429372,0.083274291382584,0
Solpse1_01g000170,2.25432514478352,1.53984134223817,1.01139644925945
Solpse1_01g000180,0.029223940224207,0,0
Solpse1_01g000190,0,0,0
Solpse1_01g000200,4.90031814497459,5.27617672720404,5.74741454177765
Solpse1_01g000210,0.761723189909006,1.1851353419936,1.42617471433902
Solpse1_01g000220,38.9680408200062,42.8361021930147,34.5074615429103
Solpse1_01g000230,0.054219879837273,0.0749854151570027,0.0534294255189143
Solpse1_01g000240,0.0687227034416682,0,0
Solpse1_01g000250,5.56208118375262,5.20687409148497,4.94674492588319
Solpse1_01g000260,1.49064412959495,1.36061783429558,1.78228050572725
Solpse1_01g000270,122.908544849473,132.324956356341,125.638792525365
Solpse1_01g000280,104.928072106635,110.688433933897,123.442082916969
Solpse1_01g000290,15.964487948509,16.5992558769912,14.3172276242684
Solpse1_01g000300,7.27500348207977,7.61135619774977,7.52117485832501
Solpse1_01g000310,172.481607881245,202.571558250441,211.562959216374
Solpse1_01g000320,11.5331464198025,11.870153155691,13.1224838797317
Solpse1_01g000330,0.989703722100081,1.45429460100271,2.27564201083376
Solpse1_01g000340,6.16679132153815,7.94880035959913,7.24962034200289
Solpse1_01g000350,44.894060505262,48.2170779734315,35.0331037072368
Solpse1_01g000360,47.5970696217102,53.8997301500036,52.2486479060212
Solpse1_01g000370,0,0,0
Solpse1_01g000380,5.86289689668974,6.19989300704713,5.15740740393564
Solpse1_01g000390,0,0,0
Solpse1_01g000400,5.34208500291447,5.59430663079218,6.15000808472977
Solpse1_01g000410,29.3193061076638,23.4910429450741,23.9521770123037
Solpse1_01g000420,10.7233061596965,10.5949317415819,9.25574408989312
Solpse1_01g000430,0,0.0428488086611444,0.0814162674573932
Solpse1_01g000440,0.227960954644301,0.0591125900507759,0.0561593961658661
Solpse1_01g000450,0,0.72523207495131,0
Solpse1_01g000460,3.84976166201934,2.46766407774292,3.75101207853563
Solpse1_01g000470,22.9427901562001,22.1369243834796,21.8196524078154
Solpse1_01g000480,27.5756442534359,28.4203961069832,24.3054377323622
Solpse1_01g000490,12.731296909544,15.2805553495981,12.3536655076678
Solpse1_01g000500,0,0,0
Solpse1_01g000510,4.63642694834717,5.7459261053983,6.11155711539746
Solpse1_01g000520,1.087952998702,1.85865488061292,1.51354175896203
Solpse1_01g000530,61.0851937335617,59.0054015753141,52.7823668451169
