Sang7-1_S7,Sang7-2_S8,Sang7-3_S9
Solvio1_01g000010,3.90577103527981,3.7078993950699,3.4552309885102
Solvio1_01g000020,0,0,0
Solvio1_01g000030,149.302227491367,155.019927495035,146.653406814498
Solvio1_01g000040,0,0,0
Solvio1_01g000050,35.8173395340204,38.4493026966519,36.2945561280874
Solvio1_01g000060,0.218806913326663,0,0
Solvio1_01g000070,1078.41057028172,999.27904114595,1054.34904928981
Solvio1_01g000080,47.0106855133731,43.7525682156769,47.6820369604517
Solvio1_01g000090,142.086159808313,195.665322244865,143.396089597442
Solvio1_01g000100,210.460073132996,161.800407220257,190.504667647205
Solvio1_01g000110,10.6218170181718,9.56430838460262,7.20400978962899
Solvio1_01g000120,13.4506083029607,9.45410612943482,6.00721656034979
Solvio1_01g000130,51.5332376546143,44.3362148723084,42.2047361589443
Solvio1_01g000140,0.324863293631368,0.639347869021167,0.665698666885965
Solvio1_01g000150,0.0580436345641469,0,0
Solvio1_01g000160,0.244077570922137,0.463981543154695,0.0721377905329731
Solvio1_01g000170,0.413394740827092,0.0924525414346188,0.244359882053487
Solvio1_01g000180,0,0,0
Solvio1_01g000190,19.0190734147234,16.3305874176388,12.2807211810012
Solvio1_01g000200,0.0692072984643438,0.0619107114527032,0
Solvio1_01g000210,2.08519813746433,2.2438314353094,2.11978561373631
Solvio1_01g000220,2.60986559269152,0.875514428525426,0.771352880698959
Solvio1_01g000230,130.340193857143,119.302438832223,145.286784089974
Solvio1_01g000240,0.14816610409945,0.0662724100023806,0
Solvio1_01g000250,1.63927773984192,2.09492461456174,1.68418994744324
Solvio1_01g000260,0,0,0
Solvio1_01g000270,31.793030069207,29.109761962473,28.8680042668087
Solvio1_01g000280,37.3710451383979,35.2499291432245,30.9732906420125
Solvio1_01g000290,11.3908647861512,9.89729995887392,6.33891557836672
Solvio1_01g000300,31.145598418355,23.585414101302,24.7754556117146
Solvio1_01g000310,272.214047196302,488.978899520369,295.917064970641
Solvio1_01g000320,8.20209806150049,7.47732468750915,5.47778795878341
Solvio1_01g000330,11.1637752609273,8.7048230689896,7.71473593199851
Solvio1_01g000340,36.4948756566294,34.2099346515749,42.5813934528724
Solvio1_01g000350,47.2592354179692,45.4224399815611,47.5015741811349
Solvio1_01g000360,2.34708578539356,1.35707821391239,1.3084188751532
Solvio1_01g000370,13.2238247908759,9.576363245344,6.63796989679017
Solvio1_01g000380,74.6402009954773,73.2624255682331,56.2692778089908
Solvio1_01g000390,0.0852830095249591,0.127152576671234,0.0672150016777046
Solvio1_01g000400,12.0343802329665,7.60536476334847,7.34305824780085
Solvio1_01g000410,0,0,0
Solvio1_01g000420,14.4525121301284,7.92944478524197,7.30542722053718
Solvio1_01g000430,0.0445351242173923,0.0398397464734706,0.0701998783969448
Solvio1_01g000440,3.37337465929649,1.5088583847928,2.75364684292532
Solvio1_01g000450,8.54766250060428,4.66120726739987,4.84492998579563
Solvio1_01g000460,16.3066689039883,13.9810359251545,15.0483544611465
Solvio1_01g000470,36.9511781011846,30.485835867854,29.9635793896873
Solvio1_01g000480,9.89067946626892,7.32663119881842,5.87197788718433
Solvio1_01g000490,0.0764357248388836,0.0683770384075374,0.0602420974810761
Solvio1_01g000500,3.0819754255158,1.0690563327794,1.48716118694573
Solvio1_01g000510,64.5723229088959,68.0646554579279,63.1912625001682
Solvio1_01g000520,6.33825916026977,5.08168288619545,4.25681406071043
Solvio1_01g000530,70.228519706126,60.9665576870357,47.4746954516645
Solvio1_01g000540,25.9682207475832,20.685165321264,28.7330665230622
Solvio1_01g000550,13.0465376581197,10.2207833119566,7.84877671051913
Solvio1_01g000560,0,0,0
Solvio1_01g000570,4.76485219590337,4.68098857045131,5.62623219930286
Solvio1_01g000580,216.94300258351,225.968538040396,263.242663192381
Solvio1_01g000590,16.737652769916,14.6976705608515,12.5572314937598
Solvio1_01g000600,14.003905758458,12.5145065472767,12.7605150798376
Solvio1_01g000610,12.0280762097957,11.876543552171,18.8254818999572
Solvio1_01g000620,11.3159097712968,8.37754207676002,10.3244041434436
Solvio1_01g000630,6.35307297331412,6.42021340720239,4.90807286970291
Solvio1_01g000640,19.4832190391048,16.5848198652804,12.9475490382829
Solvio1_01g000650,3.30369648739928,1.1589744428646,3.01221296394163
Solvio1_01g000660,51.7442639690457,55.776590813517,52.1803820146026
Solvio1_01g000670,8.55074384973932,7.64923132290636,5.61599027175558
Solvio1_01g000680,11.520811140222,10.6147294960756,8.50911952767655
Solvio1_01g000690,65.7908227473585,63.5141423583005,51.949832670989
Solvio1_01g000700,0.579194770570578,0.259064875463852,1.59770418426415
Solvio1_01g000710,128.105871829662,215.264396036057,105.916194735085
Solvio1_01g000720,0.099336064289237,0.118483966277567,0
Solvio1_01g000730,0,0,0
Solvio1_01g000740,61.7856021506164,71.8969795631054,41.3234775087179
Solvio1_01g000750,0,0,0
Solvio1_01g000760,26.2584436162637,27.0396973163635,21.6398590476361
Solvio1_01g000770,14.4680489628242,12.8007544587412,12.128038360526
Solvio1_01g000780,1.84095335008552,0.548953333844082,2.90186012908844
Solvio1_01g000790,8.12264570105753,5.9699148912092,3.69311181271142
Solvio1_01g000800,70.764267505668,52.4142523838406,35.5682355922005
Solvio1_01g000810,3.54479417750943,2.50979897498391,1.52268512409318
Solvio1_01g000820,739.436558563327,456.73419136533,817.064431288418
Solvio1_01g000830,142.701180152078,80.5950827568042,107.923287336652
Solvio1_01g000840,0.219348514597273,0.152617426634645,0.0384172151803262
Solvio1_01g000850,53.147541887221,73.8112521788317,64.2360020325325
Solvio1_01g000860,9.35680419091279,17.5302677098718,11.5487095792125
Solvio1_01g000870,0,0.210174107209285,0.185169310478709
Solvio1_01g000880,289.979237700892,301.588003050552,265.032080986217
Solvio1_01g000890,0.0239994287827826,0.0644074430025352,0.0945746201314922
Solvio1_01g000900,67.3071928452648,77.6371296924327,56.046587329639
Solvio1_01g000910,0.0856200965191289,0.0765930936153996,0.337403368105474
Solvio1_01g000920,13.5666030303008,13.5170365623607,12.3250609676781
Solvio1_01g000930,8.24785646541613,7.37827762481976,6.68409959319574
Solvio1_01g000940,8.53089036339415,7.89104485106396,8.7360294464873
Solvio1_01g000950,3.54270652838649,4.81602870715062,2.65718280756616
Solvio1_01g000960,16.2758597713278,25.8629472311812,8.69243140826549
Solvio1_01g000970,199.308550550149,63.5882141111229,91.329211572473
Solvio1_01g000980,0,0,0
Solvio1_01g000990,4.35171785209948,2.5231839433198,4.95410570401296
