Sabu2-2_S11,Sabu2-3_S17
Solabu2_01g000010,0,0
Solabu2_01g000020,48.496695235973,47.287000840696
Solabu2_01g000030,11.1625624710562,9.88213845101725
Solabu2_01g000040,8.45820579733119,5.89803698513757
Solabu2_01g000050,480.920256749917,516.193785338582
Solabu2_01g000060,92.4273993794033,65.0448906873262
Solabu2_01g000070,74.1778385817123,84.4566559636852
Solabu2_01g000080,347.809135107177,315.343293240608
Solabu2_01g000090,15.2172725085515,14.5408009458908
Solabu2_01g000100,0.178262373589782,0.107069514328343
Solabu2_01g000110,100.715669279762,70.8760684764874
Solabu2_01g000120,0,0
Solabu2_01g000130,3.60393891522572,2.72558529230843
Solabu2_01g000140,0,0.031250866797902
Solabu2_01g000150,0,0
Solabu2_01g000160,0,0
Solabu2_01g000170,5.84602712109667,5.40466333404148
Solabu2_01g000180,29.8062567642053,33.1461484184454
Solabu2_01g000190,0,0
Solabu2_01g000200,8.32149709140548,8.24312928456593
Solabu2_01g000210,0.173906144718144,0.0843659151769414
Solabu2_01g000220,70.3130176940757,59.2541138557313
Solabu2_01g000240,0,0
Solabu2_01g000230,0,0
Solabu2_01g000250,0,0
Solabu2_01g000260,13.3495836599407,10.5096122463455
Solabu2_01g000270,2.02984892554788,3.8937743632291
Solabu2_01g000280,210.781318033388,167.537675408167
Solabu2_01g000290,63.621548492504,56.3057371376813
Solabu2_01g000300,11.7039403940161,8.60416070658426
Solabu2_01g000310,3.59418094992563,3.02374027427271
Solabu2_01g000320,122.191961559854,102.514304733079
Solabu2_01g000330,23.8470409388436,14.4558418233598
Solabu2_01g000340,1.48065017930152,1.10447946839538
Solabu2_01g000350,23.1506122225281,17.1362012708
Solabu2_01g000360,17.8215669437848,15.7395286531226
Solabu2_01g000370,0,0
Solabu2_01g000380,3.92137597029814,5.68518593724544
Solabu2_01g000390,5.34493443053382,2.52812819458151
Solabu2_01g000400,4.9539661067429,3.90971986731957
Solabu2_01g000410,12.4111690972288,9.40722957237982
Solabu2_01g000420,0,0
Solabu2_01g000430,0,0
Solabu2_01g000440,0,0
Solabu2_01g000450,0,0
Solabu2_01g000460,15.4892443024272,15.3762645486696
Solabu2_01g000470,23.7589128461556,20.8681368532614
Solabu2_01g000480,5.82038293541352,5.1939768823882
Solabu2_01g000490,0,0.362783407591247
Solabu2_01g000500,0,0
Solabu2_01g000510,0.285317342134124,0
Solabu2_01g000520,42.5341149426387,50.298930524086
Solabu2_01g000530,30.0904498843932,25.088350222923
Solabu2_01g000540,7.5190535282878,5.52013716509297
Solabu2_01g000550,13.2358833404959,5.27951752126235
Solabu2_01g000560,0,0
Solabu2_01g000570,18.5557012251489,16.6688980973481
Solabu2_01g000580,750.841117560161,908.360008563234
Solabu2_01g000590,10.9654011087962,9.04961987230008
Solabu2_01g000600,10.626615995546,12.1142046851992
Solabu2_01g000610,32.9002868944396,38.0240070183509
Solabu2_01g000620,6.47906452442952,4.69487423125357
Solabu2_01g000630,7.02316478289607,5.27420867139072
Solabu2_01g000640,12.5718678123207,9.68541599226626
Solabu2_01g000650,1.8703162179097,0.786356041050974
Solabu2_01g000660,29.8589475762884,33.7268970134281
Solabu2_01g000670,58.7714505917652,45.5434277852367
Solabu2_01g000680,40.2145099878737,24.8424002542449
Solabu2_01g000690,0,0
Solabu2_01g000700,141.259925030137,75.2075654665126
Solabu2_01g000710,0.182653072446673,0.0719950182552651
Solabu2_01g000720,0,0
Solabu2_01g000730,29.6136038913826,35.0097725966914
Solabu2_01g000740,13.8942861757716,11.7155290138152
Solabu2_01g000750,20.5371923055832,14.8700057119906
Solabu2_01g000760,8.01991442965494,5.48191366884924
Solabu2_01g000770,9.85587123816709,6.47628008932232
