Shav1-1_S13,Shav1-2_S14,Shav1-3_S15
Solhav1_01g000010,0,0.0371853387471723,0
Solhav1_01g000020,18.0536176607682,24.8912852498598,44.9580963816472
Solhav1_01g000030,2.10885856969012,3.21278872297764,4.84128152378875
Solhav1_01g000040,1.79098639661942,0.183836393628772,0.98885287359538
Solhav1_01g000050,7.88940411737623,12.2712891336174,13.1950525665167
Solhav1_01g000060,0.914352195408585,4.69806232666631,5.13493391049477
Solhav1_01g000070,275.816607312106,586.28541995631,532.237337675534
Solhav1_01g000080,79.4933837830093,83.0891760473001,96.1806204553434
Solhav1_01g000090,1.11651365235262,12.5023543353169,2.01749861936764
Solhav1_01g000100,42.6078755764147,43.0335851205349,54.8176434296042
Solhav1_01g000110,0.962823513972094,1.07813824834919,1.44982188233909
Solhav1_01g000120,161.519833272654,309.060077380331,305.852000036975
Solhav1_01g000130,7.02453629415508,8.84385578665881,14.6556972514404
Solhav1_01g000140,0,0,0
Solhav1_01g000150,0.576115538479528,1.15314363112751,1.70972967699682
Solhav1_01g000160,0.635632629117125,1.13881697221581,1.78665589837852
Solhav1_01g000170,0.254778367869261,0.296387182320686,0.23445024640519
Solhav1_01g000180,4.75798601995845,4.36016055638967,6.63083909395478
Solhav1_01g000190,0.155697891475659,0.209214481638131,0.171930180697139
Solhav1_01g000200,0.056617415082058,0.0348690802730218,0.125040131416101
Solhav1_01g000210,0.383620660365883,0.47252244141844,1.90626770689299
Solhav1_01g000220,1.34938172612238,2.21612376846317,2.40702252975995
Solhav1_01g000230,0,0.372076054170808,0.500347711489878
Solhav1_01g000240,0.0338564542537676,0.37532235531458,0.299089280783211
Solhav1_01g000250,0,0,0
Solhav1_01g000260,0.674112919885706,2.21422542704766,3.22570120755612
Solhav1_01g000270,0.573844141902017,3.34137378947187,3.51398975315228
Solhav1_01g000280,6.4262569220527,17.4404923107231,28.7633716822852
Solhav1_01g000290,0.07261045964464,0.514265607797795,0.440992561356318
Solhav1_01g000300,0,0.839685149277364,0
Solhav1_01g000310,0,0.166140911889104,0
Solhav1_01g000320,0.659426363896911,2.88798029555381,4.97586170017602
Solhav1_01g000330,2.02620013801119,1.672416384275,2.76796912029183
Solhav1_01g000340,308.02411826695,307.667930980047,379.977556594518
Solhav1_01g000350,39.7848241042855,72.0657615230315,112.616749823152
Solhav1_01g000360,13.0230578371834,15.8357474373011,18.6374872458311
Solhav1_01g000370,4.04601960988284,2.88946263398943,4.82431392696767
Solhav1_01g000380,0,1.09011756221974,0.390914937164021
Solhav1_01g000390,12.4442675489246,11.6471977204804,13.5938854806905
Solhav1_01g000400,3.29672526808881,6.53801704394179,8.10509823478794
Solhav1_01g000410,37.8754016389721,46.326027519719,28.6864671880649
Solhav1_01g000420,30.1342789285367,60.0829038364535,70.6025500920951
Solhav1_01g000430,0,0,0
Solhav1_01g000440,3.1083614996527,4.26741143259189,6.54305794216609
Solhav1_01g000450,35.1992287083628,117.950588176747,214.656340586823
Solhav1_01g000460,12.5769770747078,14.4701906546702,18.0088621052411
Solhav1_01g000470,5.76042979847478,6.36496853709155,9.40115960345968
Solhav1_01g000480,0.302979680709391,0,0
Solhav1_01g000490,0,0,0
Solhav1_01g000500,0.133987030114512,0,0
Solhav1_01g000510,0.369568621524642,0,0
Solhav1_01g000520,50.8116684094043,57.6340415503999,70.741794131625
Solhav1_01g000530,3.45225778190684,3.82706798575688,3.76452087692384
Solhav1_01g000540,31.4093078248057,27.3682725684411,31.2013152817054
Solhav1_01g000550,10.8314329813892,29.8048051670532,4.53105949894661
Solhav1_01g000560,0,0,0
Solhav1_01g000570,16.1085013347251,35.8152529071724,34.179775518446
Solhav1_01g000580,1.98936533815724,2.2440402619542,2.15051897250568
Solhav1_01g000590,100.988688966549,108.258053525035,131.967426421294
Solhav1_01g000600,12.6353695293952,17.2667203286185,29.2742821091734
Solhav1_01g000610,0.651758615479505,0.545903833483682,0.143941546630163
Solhav1_01g000620,0,0,0
Solhav1_01g000630,1.58193397750182,1.25572427202036,0.698743424268791
Solhav1_01g000640,97.438875342343,248.630209153947,207.493188543353
Solhav1_01g000650,0.465799786132167,2.95479233970086,2.5460907091604
Solhav1_01g000660,92.7878881528816,50.3353806980018,63.8583100553099
Solhav1_01g000670,25.4196017314131,36.9592325705304,40.0065900465816
Solhav1_01g000680,0.31927922049439,0.458815303086155,0.822653269664792
Solhav1_01g000690,0,0.2113493232875,0.189474076686643
Solhav1_01g000700,8.47354268908263,7.89552511122075,9.25998894887881
Solhav1_01g000710,56.5986163309565,51.2951412285115,65.8358271616373
Solhav1_01g000720,0.918394844907141,3.79769174146511,9.7067889793849
Solhav1_01g000730,13.3997497851239,8.04448361763046,9.07699248626949
Solhav1_01g000740,9.31385662334432,5.76526092184252,6.36931226110264
Solhav1_01g000750,9.44425018430439,31.4939443660469,36.3102410384629
Solhav1_01g000760,0.410131031204176,15.5089164400676,13.7678333967036
Solhav1_01g000770,0.12738918393463,2.8766991225243,0.0468900492810379
Solhav1_01g000780,0,0,0
Solhav1_01g000790,14.7667990067575,22.1841690707559,21.961680543466
Solhav1_01g000800,4.09512299045032,5.93691180976136,9.48432091621545
Solhav1_01g000810,6.49493754290714,6.62791477829599,7.63627897566343
Solhav1_01g000820,29.8859418241124,30.2549390472383,27.7548669287468
Solhav1_01g000830,0.418061741752323,0,0
